,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,9648,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19107862.0,19107862.0,,1,,,,2022-07-30T20:54:00.000Z,23974.34720609058,28339742823.61435,-22.1738,-0.25196561,0.2218486,7.45253599,27.90529044,-24.42111026,-36.83115212,458098517954.0644,41.4555,503461291327.9,,2022-07-30T20:54:00.000Z,,,,,,2022-07-30 20:55:51.353079
1,1027,Ethereum,ETH,ethereum,5869,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,121762185.999,121762185.999,,2,,,,2022-07-30T20:53:00.000Z,1701.0126434848426,16140208009.672531,-30.5215,0.25988915,-1.68738208,11.74730318,68.06127343,-12.52493098,-38.66675246,207119017882.65207,18.7526,207119017882.65,,2022-07-30T20:53:00.000Z,,,,,,2022-07-30 20:55:51.353079
2,825,Tether,USDT,tether,36785,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,66056977707.861404,68158976391.28773,,3,,,,2022-07-30T20:53:00.000Z,1.0002841767160329,58001937939.00852,-19.3114,-0.00015364,0.00212914,0.02590415,0.14519536,0.09795877,0.01036016,66075749562.85748,5.9795,68178345585.37,,2022-07-30T20:53:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-07-30 20:55:51.353079
3,3408,USD Coin,USDC,usd-coin,4987,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,54457718596.76835,54457718596.76835,,4,,,,2022-07-30T20:53:00.000Z,0.9997122401044719,6513409992.425429,-25.0832,-0.03372598,-0.04458674,-0.04372515,-0.04607926,-0.06886153,-0.04342257,54442047849.35425,4.9292,54442047849.35,,2022-07-30T20:53:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-07-30 20:55:51.353079
4,1839,BNB,BNB,bnb,1041,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",200000000.0,161337261.09,161337261.09,,5,,,,2022-07-30T20:53:00.000Z,290.0906863841075,1574797059.0894501,-35.4813,-0.8497488,-2.08603378,13.30832298,37.75975181,-9.26624159,-24.65428384,46802436808.93007,4.2375,58018137276.82,,2022-07-30T20:53:00.000Z,,,,,,2022-07-30 20:55:51.353079
5,52,XRP,XRP,xrp,780,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,48343101197.0,99989535142.0,,6,,,,2022-07-30T20:54:00.000Z,0.39426776101010386,1708775096.4973776,-2.9728,-0.45135521,6.97664388,10.96742469,23.98831792,-5.67271645,-34.26450543,19060126269.226063,1.7258,39426776101.01,,2022-07-30T20:54:00.000Z,,,,,,2022-07-30 20:55:51.353079
6,2010,Cardano,ADA,cardano,526,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",45000000000.0,33934048405.593,34277702081.605,,7,,,,2022-07-30T20:53:00.000Z,0.5326829056621283,1275203524.6896012,-20.677,0.10192284,0.9616618,7.51149376,21.18211735,-11.36423703,-31.10250634,18076087505.57059,1.635,23970730754.8,,2022-07-30T20:53:00.000Z,,,,,,2022-07-30 20:55:51.353079
7,4687,Binance USD,BUSD,binance-usd,4175,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,17858623534.199257,17858623534.199257,,8,,,,2022-07-30T20:53:00.000Z,1.0001532987778075,6486433707.993544,-27.6045,0.11097417,-0.0473096,-0.09172412,0.04480266,0.08991374,0.09247183,17861361239.360374,1.6146,17861361239.36,,2022-07-30T20:53:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-07-30 20:55:51.353079
8,5426,Solana,SOL,solana,352,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,346026765.75456744,511616946.142289,,9,,,,2022-07-30T20:53:00.000Z,45.212876322745984,1993478227.2562218,-5.4355,0.16147398,7.05038577,14.75243726,42.95332816,-0.86516656,-48.61497654,15644865364.421053,1.4151,23131673710.55,,2022-07-30T20:53:00.000Z,,,,,,2022-07-30 20:55:51.353079
9,74,Dogecoin,DOGE,dogecoin,514,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,10,,,,2022-07-30T20:53:00.000Z,0.07045496846589308,765135365.8598588,7.9026,-0.51473212,1.20755539,4.88612479,11.21475245,-18.21128251,-45.92052019,9347314515.09497,0.8463,9347314515.09,,2022-07-30T20:53:00.000Z,,,,,,2022-07-30 20:55:51.353079
